                                     | Core 0    
  Instructions                       |   77549757
  Cycles                             |  185507000
  IPC                                |       0.42
  Time (ns)                          |   92753500
  Idle time (ns)                     |        217
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9420842
  num incorrect                      |      65711
  misprediction rate                 |      0.69%
  mpki                               |       0.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35058489
    num misses                       |        106
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        184
    num misses                       |        176
    miss rate                        |     95.65%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608277
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35058499
    num cache misses                 |    3838160
    miss rate                        |     10.95%
    mpki                             |      49.49
  Cache L2                           |           
    num cache accesses               |    5452122
    num cache misses                 |     116496
    miss rate                        |      2.14%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     129051
  average dram access latency (ns)   |     204.33
  average dram queueing delay        |       0.11
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |     104662
  num loads from dram cache          |          0
  num loads from remote cache        |          0
