                                     | Core 0    
  Instructions                       |   15581180
  Cycles                             |  139482600
  IPC                                |       0.11
  Time (ns)                          |   69741300
  Idle time (ns)                     |        402
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    1853041
  num incorrect                      |     192381
  misprediction rate                 |      9.41%
  mpki                               |      12.35
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    3323676
    num misses                       |         97
    miss rate                        |      0.00%
    mpki                             |       0.01
  D-TLB                              |           
    num accesses                     |    7997096
    num misses                       |      28491
    miss rate                        |      0.36%
    mpki                             |       1.83
  L2 TLB                             |           
    num accesses                     |      28588
    num misses                       |       3741
    miss rate                        |     13.09%
    mpki                             |       0.24
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    3323676
    num cache misses                 |    1311409
    miss rate                        |     39.46%
    mpki                             |      84.17
  Cache L1-D                         |           
    num cache accesses               |    7997102
    num cache misses                 |    1409310
    miss rate                        |     17.62%
    mpki                             |      90.45
  Cache L2                           |           
    num cache accesses               |    2759352
    num cache misses                 |     285561
    miss rate                        |     10.35%
    mpki                             |      18.33
DRAM summary                         |           
  num dram accesses                  |     384707
  average dram access latency (ns)   |     204.40
  average dram queueing delay        |       0.18
  average dram bandwidth utilization |      2.00%
Coherency Traffic                    |           
  num loads from dram                |     258575
  num loads from dram cache          |          0
  num loads from remote cache        |          0
