                                     | Core 0    
  Instructions                       |   77549762
  Cycles                             |  288868800
  IPC                                |       0.27
  Time (ns)                          |  144434400
  Idle time (ns)                     |        117
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9420861
  num incorrect                      |      65692
  misprediction rate                 |      0.69%
  mpki                               |       0.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35068724
    num misses                       |        105
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        183
    num misses                       |        175
    miss rate                        |     95.63%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608285
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35068734
    num cache misses                 |    3933549
    miss rate                        |     11.22%
    mpki                             |      50.72
  Cache L2                           |           
    num cache accesses               |    5547679
    num cache misses                 |     116641
    miss rate                        |      2.10%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     129282
  average dram access latency (ns)   |     204.27
  average dram queueing delay        |       0.05
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |     104278
  num loads from dram cache          |          0
  num loads from remote cache        |          0
