                                     | Core 0    
  Instructions                       |   77549757
  Cycles                             |  124169400
  IPC                                |       0.62
  Time (ns)                          |   62084700
  Idle time (ns)                     |        224
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9420902
  num incorrect                      |      65651
  misprediction rate                 |      0.69%
  mpki                               |       0.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35068729
    num misses                       |        122
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        200
    num misses                       |        175
    miss rate                        |     87.50%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608284
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35068739
    num cache misses                 |    4040486
    miss rate                        |     11.52%
    mpki                             |      52.10
  Cache L2                           |           
    num cache accesses               |    5654244
    num cache misses                 |     116547
    miss rate                        |      2.06%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     129155
  average dram access latency (ns)   |     204.46
  average dram queueing delay        |       0.24
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |     104186
  num loads from dram cache          |          0
  num loads from remote cache        |          0
