                                     | Core 0    
  Instructions                       |   77549757
  Cycles                             |  181898000
  IPC                                |       0.43
  Time (ns)                          |   90949000
  Idle time (ns)                     |        308
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9420635
  num incorrect                      |      65918
  misprediction rate                 |      0.69%
  mpki                               |       0.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35068722
    num misses                       |        182
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        260
    num misses                       |        175
    miss rate                        |     67.31%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608278
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35068732
    num cache misses                 |    3993406
    miss rate                        |     11.39%
    mpki                             |      51.49
  Cache L2                           |           
    num cache accesses               |    5607581
    num cache misses                 |     116502
    miss rate                        |      2.08%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     129076
  average dram access latency (ns)   |     204.34
  average dram queueing delay        |       0.12
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |     104703
  num loads from dram cache          |          0
  num loads from remote cache        |          0
