                                     | Core 0    
  Instructions                       |    8042558
  Cycles                             |   15399800
  IPC                                |       0.52
  Time (ns)                          |    7699900
  Idle time (ns)                     |        140
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    1018538
  num incorrect                      |      12608
  misprediction rate                 |      1.22%
  mpki                               |       1.57
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    1545085
    num misses                       |         83
    miss rate                        |      0.01%
    mpki                             |       0.01
  D-TLB                              |           
    num accesses                     |    1312051
    num misses                       |         97
    miss rate                        |      0.01%
    mpki                             |       0.01
  L2 TLB                             |           
    num accesses                     |        180
    num misses                       |        169
    miss rate                        |     93.89%
    mpki                             |       0.02
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    1545085
    num cache misses                 |     872598
    miss rate                        |     56.48%
    mpki                             |     108.50
  Cache L1-D                         |           
    num cache accesses               |    1312051
    num cache misses                 |     255484
    miss rate                        |     19.47%
    mpki                             |      31.77
  Cache L2                           |           
    num cache accesses               |    1128214
    num cache misses                 |      12064
    miss rate                        |      1.07%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |      13923
  average dram access latency (ns)   |     204.85
  average dram queueing delay        |       0.63
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |       6564
  num loads from dram cache          |          0
  num loads from remote cache        |          0
