                                     | Core 0    
  Instructions                       |    8042558
  Cycles                             |   13468600
  IPC                                |       0.60
  Time (ns)                          |    6734300
  Idle time (ns)                     |         46
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    1018534
  num incorrect                      |      12612
  misprediction rate                 |      1.22%
  mpki                               |       1.57
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    1545085
    num misses                       |         83
    miss rate                        |      0.01%
    mpki                             |       0.01
  D-TLB                              |           
    num accesses                     |    1312058
    num misses                       |        101
    miss rate                        |      0.01%
    mpki                             |       0.01
  L2 TLB                             |           
    num accesses                     |        184
    num misses                       |        170
    miss rate                        |     92.39%
    mpki                             |       0.02
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    1545085
    num cache misses                 |     872598
    miss rate                        |     56.48%
    mpki                             |     108.50
  Cache L1-D                         |           
    num cache accesses               |    1312058
    num cache misses                 |     132673
    miss rate                        |     10.11%
    mpki                             |      16.50
  Cache L2                           |           
    num cache accesses               |    1005390
    num cache misses                 |      13156
    miss rate                        |      1.31%
    mpki                             |       1.64
DRAM summary                         |           
  num dram accesses                  |      15164
  average dram access latency (ns)   |     205.21
  average dram queueing delay        |       0.99
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |       6545
  num loads from dram cache          |          0
  num loads from remote cache        |          0
