                                     | Core 0    
  Instructions                       |    8042558
  Cycles                             |   13845000
  IPC                                |       0.58
  Time (ns)                          |    6922500
  Idle time (ns)                     |        244
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    1018500
  num incorrect                      |      12646
  misprediction rate                 |      1.23%
  mpki                               |       1.57
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    1545085
    num misses                       |         83
    miss rate                        |      0.01%
    mpki                             |       0.01
  D-TLB                              |           
    num accesses                     |    1312180
    num misses                       |        118
    miss rate                        |      0.01%
    mpki                             |       0.01
  L2 TLB                             |           
    num accesses                     |        201
    num misses                       |        169
    miss rate                        |     84.08%
    mpki                             |       0.02
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    1545085
    num cache misses                 |     872598
    miss rate                        |     56.48%
    mpki                             |     108.50
  Cache L1-D                         |           
    num cache accesses               |    1312180
    num cache misses                 |     114343
    miss rate                        |      8.71%
    mpki                             |      14.22
  Cache L2                           |           
    num cache accesses               |     987061
    num cache misses                 |      12120
    miss rate                        |      1.23%
    mpki                             |       1.51
DRAM summary                         |           
  num dram accesses                  |      14074
  average dram access latency (ns)   |     205.38
  average dram queueing delay        |       1.16
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |       6513
  num loads from dram cache          |          0
  num loads from remote cache        |          0
