                                     | Core 0    
  Instructions                       |   77549757
  Cycles                             |  180819800
  IPC                                |       0.43
  Time (ns)                          |   90409900
  Idle time (ns)                     |        279
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9420864
  num incorrect                      |      65689
  misprediction rate                 |      0.69%
  mpki                               |       0.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35058489
    num misses                       |        126
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        204
    num misses                       |        175
    miss rate                        |     85.78%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608278
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35058499
    num cache misses                 |    3855556
    miss rate                        |     11.00%
    mpki                             |      49.72
  Cache L2                           |           
    num cache accesses               |    5469671
    num cache misses                 |     116504
    miss rate                        |      2.13%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     129046
  average dram access latency (ns)   |     204.37
  average dram queueing delay        |       0.16
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |     104376
  num loads from dram cache          |          0
  num loads from remote cache        |          0
