                                     | Core 0    
  Instructions                       |   77549756
  Cycles                             |  120547000
  IPC                                |       0.64
  Time (ns)                          |   60273500
  Idle time (ns)                     |        135
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9420855
  num incorrect                      |      65698
  misprediction rate                 |      0.69%
  mpki                               |       0.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35068729
    num misses                       |        144
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        222
    num misses                       |        175
    miss rate                        |     78.83%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608338
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35068739
    num cache misses                 |    3937977
    miss rate                        |     11.23%
    mpki                             |      50.78
  Cache L2                           |           
    num cache accesses               |    5551937
    num cache misses                 |     116633
    miss rate                        |      2.10%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     129237
  average dram access latency (ns)   |     204.44
  average dram queueing delay        |       0.22
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |     104239
  num loads from dram cache          |          0
  num loads from remote cache        |          0
