                                     | Core 0    
  Instructions                       |    8042558
  Cycles                             |   13389400
  IPC                                |       0.60
  Time (ns)                          |    6694700
  Idle time (ns)                     |         68
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    1018638
  num incorrect                      |      12508
  misprediction rate                 |      1.21%
  mpki                               |       1.56
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    1545085
    num misses                       |         83
    miss rate                        |      0.01%
    mpki                             |       0.01
  D-TLB                              |           
    num accesses                     |    1312058
    num misses                       |        106
    miss rate                        |      0.01%
    mpki                             |       0.01
  L2 TLB                             |           
    num accesses                     |        189
    num misses                       |        169
    miss rate                        |     89.42%
    mpki                             |       0.02
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    1545085
    num cache misses                 |     872598
    miss rate                        |     56.48%
    mpki                             |     108.50
  Cache L1-D                         |           
    num cache accesses               |    1312058
    num cache misses                 |     132648
    miss rate                        |     10.11%
    mpki                             |      16.49
  Cache L2                           |           
    num cache accesses               |    1005365
    num cache misses                 |      12051
    miss rate                        |      1.20%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |      13902
  average dram access latency (ns)   |     205.26
  average dram queueing delay        |       1.04
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |       6523
  num loads from dram cache          |          0
  num loads from remote cache        |          0
